feature,importance
cross_platform_spread,0.3536483248335191
followers,0.23935355322573465
toxicity_score,0.10798904485719751
sentiment_negative,0.07373986997022852
sentiment_positive,0.05323812065005986
sentiment_neutral,0.04216766798136653
account_age_days,0.003516499273641316
topic,0.0006256755881301368
location,0.00043477478514878374
media_type,0.00036404532815536016
language,0.0002638216079561717
day_of_week,0.00025644260746592317
verified,0.0
num_hashtags,-6.800317027999547e-06
content_length,-1.2005339976461914e-05
hour_of_day,-0.0009179028287435997
platform,-0.0009344181030399689
